gene,cell_type
Cux1,Excitatory_Neuron
Cux2,Excitatory_Neuron
Satb2,Excitatory_Neuron
Rorb,Excitatory_Neuron
Tbr1,Excitatory_Neuron
Fezf2,Excitatory_Neuron
Prox1,Excitatory_Neuron
Wfs1,Excitatory_Neuron
Zbtb20,Excitatory_Neuron
Ntm,Excitatory_Neuron
Gad1,Inhibitory_Neuron
Pvalb,Inhibitory_Neuron
Sst,Inhibitory_Neuron
Vip,Inhibitory_Neuron
Calb1,Inhibitory_Neuron
Npy,Inhibitory_Neuron
Reln,Inhibitory_Neuron
Aqp4,Astrocyte
Aldh1l1,Astrocyte
Gfap,Astrocyte
Slc1a2,Astrocyte
Slc1a3,Astrocyte
Mog,Oligodendrocyte
Olig2,Oligodendrocyte
Plp1,Oligodendrocyte
Mbp,Oligodendrocyte
Cnp,Oligodendrocyte
Csf1r,Microglia
Tmem119,Microglia
Cx3cr1,Microglia
P2ry12,Microglia
Itgam,Microglia